Prompt,Modelo,Titulación,Total preguntas,Respondidas,Aciertos,Errores,Sin respuesta,Accuracy (%)
1_no_prompt,deepseek-coder,BIOLOGÍA,1025,75,17,58,950,22.67
1_no_prompt,deepseek-coder,ENFERMERÍA,967,82,25,57,885,30.49
1_no_prompt,deepseek-coder,FARMACIA,1025,115,34,81,910,29.57
1_no_prompt,deepseek-coder,FÍSICA,1025,557,133,424,468,23.88
1_no_prompt,deepseek-coder,MEDICINA,900,27,7,20,873,25.93
1_no_prompt,deepseek-coder,PSICOLOGÍA,1025,128,33,95,897,25.78
1_no_prompt,deepseek-coder,QUÍMICA,1010,186,46,140,824,24.73
1_no_prompt,gemma,BIOLOGÍA,1025,1017,568,449,8,55.85
1_no_prompt,gemma,ENFERMERÍA,967,911,378,533,56,41.49
1_no_prompt,gemma,FARMACIA,1025,1008,458,550,17,45.44
1_no_prompt,gemma,FÍSICA,1025,996,332,664,29,33.33
1_no_prompt,gemma,MEDICINA,900,880,357,523,20,40.57
1_no_prompt,gemma,PSICOLOGÍA,1025,968,400,568,57,41.32
1_no_prompt,gemma,QUÍMICA,1010,983,430,553,27,43.74
1_no_prompt,llama3,BIOLOGÍA,1025,1019,602,417,6,59.08
1_no_prompt,llama3,ENFERMERÍA,967,945,427,518,22,45.19
1_no_prompt,llama3,FARMACIA,1025,1016,508,508,9,50.0
1_no_prompt,llama3,FÍSICA,1025,1019,334,685,6,32.78
1_no_prompt,llama3,MEDICINA,900,896,426,470,4,47.54
1_no_prompt,llama3,PSICOLOGÍA,1025,1012,443,569,13,43.77
1_no_prompt,llama3,QUÍMICA,1010,1002,419,583,8,41.82
1_no_prompt,mistral,BIOLOGÍA,1025,751,339,412,274,45.14
1_no_prompt,mistral,ENFERMERÍA,967,701,255,446,266,36.38
1_no_prompt,mistral,FARMACIA,1025,770,291,479,255,37.79
1_no_prompt,mistral,FÍSICA,1025,949,285,664,76,30.03
1_no_prompt,mistral,MEDICINA,900,653,229,424,247,35.07
1_no_prompt,mistral,PSICOLOGÍA,1025,688,228,460,337,33.14
1_no_prompt,mistral,QUÍMICA,1010,833,283,550,177,33.97
1_no_prompt,phi3,BIOLOGÍA,1025,235,70,165,790,29.79
1_no_prompt,phi3,ENFERMERÍA,967,295,103,192,672,34.92
1_no_prompt,phi3,FARMACIA,1025,254,80,174,771,31.5
1_no_prompt,phi3,FÍSICA,1025,268,70,198,757,26.12
1_no_prompt,phi3,MEDICINA,900,185,58,127,715,31.35
1_no_prompt,phi3,PSICOLOGÍA,1025,219,55,164,806,25.11
1_no_prompt,phi3,QUÍMICA,1010,235,52,183,775,22.13
2_prompt_es,deepseek,BIOLOGÍA,1025,968,370,598,57,38.22
2_prompt_es,deepseek,ENFERMERÍA,967,879,281,598,88,31.97
2_prompt_es,deepseek,FARMACIA,1025,948,310,638,77,32.7
2_prompt_es,deepseek,FÍSICA,1025,851,227,624,174,26.67
2_prompt_es,deepseek,MEDICINA,900,797,234,563,103,29.36
2_prompt_es,deepseek,PSICOLOGÍA,1025,985,310,675,40,31.47
2_prompt_es,deepseek,QUÍMICA,1010,948,272,676,62,28.69
2_prompt_es,deepseek-coder,BIOLOGÍA,1025,465,113,352,560,24.3
2_prompt_es,deepseek-coder,ENFERMERÍA,967,413,112,301,554,27.12
2_prompt_es,deepseek-coder,FARMACIA,1025,495,119,376,530,24.04
2_prompt_es,deepseek-coder,FÍSICA,1025,683,154,529,342,22.55
2_prompt_es,deepseek-coder,MEDICINA,900,298,79,219,602,26.51
2_prompt_es,deepseek-coder,PSICOLOGÍA,1025,509,148,361,516,29.08
2_prompt_es,deepseek-coder,QUÍMICA,1010,562,134,428,448,23.84
2_prompt_es,gemma,BIOLOGÍA,1025,1024,572,452,1,55.86
2_prompt_es,gemma,ENFERMERÍA,967,964,399,565,3,41.39
2_prompt_es,gemma,FARMACIA,1025,1025,472,553,0,46.05
2_prompt_es,gemma,FÍSICA,1025,1023,366,657,2,35.78
2_prompt_es,gemma,MEDICINA,900,900,358,542,0,39.78
2_prompt_es,gemma,PSICOLOGÍA,1025,1025,424,601,0,41.37
